Comment,Designator,Footprint,LCSC,Quantity
PhotoResistor,R37,R_LDR_5.1x4.3mm_P3.4mm_Vertical,C10077,1
220pF,"C14,C33,C42",C_0805,C107145,3
TSOP4438,U6,Vishay_MOLD-3Pin,C124647,1
100nF,"C2,C38,C41,C47,C48,C52",C_0603,C14663,6
MS5351M,U4,MSOP-10_3x3mm_P0.5mm,C1509083,1
10uF,"C12,C31,C32,C39,C40,C44,C45,C56,C57,C8,C9",C_0805_2012Metric,C15850,11
2.2nF,"C35,C54",C_0603,C1604,2
22pF,"C36,C37",C_0603,C1653,2
100Ω,"R31,R4,R43",R_0805,C17408,3
10k,"R12,R42,R6",R_0805_2012Metric,C17414,3
10Ω,"R13,R14,R15,R16",R_0805,C17415,4
4.7nF,"C16,C21,C22,C24,C27,C6,C7",C_0805,C1744,7
15k,R25,R_0805_2012Metric,C17475,1
1kΩ,"R7,R8",R_0805,C17513,2
200,"R2,R3",R_0805_2012Metric,C17544,2
2kΩ,"R17,R18,R29,R30",R_0805,C17604,4
3.9k,"R23,R28",R_0805_2012Metric,C17614,2
33Ω,R9,R_0805,C17634,1
680,"R39,R40,R41",R_0805_2012Metric,C17798,3
68Ω,R5,R_0805,C17802,1
8.2k,"R21,R27",R_0805_2012Metric,C17828,2
100pF,"C28,C29",C_0805,C1790,2
1kΩ,R38,R_1206_3216Metric,C17902,1
1N4004W,"D10,D11,D12,D5,D6,D7,D8,D9",D_SOD-123FL,C18199087,8
IR LED IR908-7C-F,D2,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z8.2mm,C183794,1
ADC IN,"J1,J12,J15,J16,J17",Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,C18594,5
L298N,U12,TO-220-15_P2.54x2.54mm_StaggerOdd_Lead4.58mm_Vertical,C19922,1
1kΩ,R11,R_0603,C21190,1
Si4732,U10,SOIC-16_3.9x9.9mm_P1.27mm,C2155558,1
DS18B20A10T6,U15,TO-92_Inline,C22360667,1
Green,"D1,D3",D_0805,C2297,2
39kΩ,"R10,R20",R_0603,C23153,2
1,R44,R_0805_2012Metric,C25271,1
B 100Ω,"R32,R33",L_0805_2012Metric,C25277,2
100kΩ,R22,R_0603,C25803,1
10kΩ,R1,R_0603,C25804,1
Conn_01x04_Socket,"Je1,Je2,Je3",PinHeader_1x04_P2.54mm_Vertical_Female,C2718488,3
1uF,"C18,C19,C25,C26,C3,C4,C46",C_0805,C28323,7
LM2937xS,U17,TO-263-3_TabPin2,C2902486,1
Conn_01x20,"J5,J6",PinHeader_1x20_P2.54mm_Vertical,C2905423,2
Conn_02x20_Counter_Clockwise,"J4,J7",PinSocket_2x20_P2.54mm_Vertical_Counterclockwise,C2977589,2
