Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,0.1uF,C_0805_2012Metric,163.575,-79.145,0.0,top
C11,0.1u,C_0805_2012Metric,162.85,-70.325,90.0,top
C12,10uF,C_0805_2012Metric,164.215,-76.215,90.0,top
C13,0.1uF,C_0805_2012Metric,162.035,-76.235,-90.0,top
C14,220pF,C_0805,163.66,-81.685,0.0,top
C15,0.1u,C_0805_2012Metric,156.04,-63.935,0.0,top
C16,4.7nF,C_0805,168.61,-111.975,180.0,top
C17,0.1uF,C_0805_2012Metric,98.66,-140.325,180.0,top
C18,1uF,C_0805,179.75,-91.735,0.0,top
C19,1uF,C_0805,180.38,-88.715,90.0,top
C2,100nF,C_0603,182.19,-120.235,90.0,top
C20,0.1u,C_0805_2012Metric,174.4,-87.515,90.0,top
C21,4.7nF,C_0805,181.69,-79.515,-90.0,top
C22,4.7nF,C_0805,178.53,-79.555,-90.0,top
C23,0.1u,C_0805_2012Metric,176.81,-88.685,90.0,top
C24,4.7nF,C_0805,172.06,-81.685,180.0,top
C25,1uF,C_0805,184.24,-79.535,90.0,top
C26,1uF,C_0805,176.14,-79.545,90.0,top
C27,4.7nF,C_0805,186.46,-79.545,90.0,top
C28,100pF,C_0805,184.32,-67.165,90.0,top
C29,100pF,C_0805,174.88,-67.115,90.0,top
C3,1uF,C_0805_2012Metric,168.99,-65.965,-90.0,top
C30,0.1u,C_0805_2012Metric,179.88,-64.355,0.0,top
C31,10uF,C_0805,183.52,-64.395,0.0,top
C32,10uF,C_0805,175.19,-64.255,0.0,top
C33,220pF,C_0805,106.59,-134.415,-90.0,top
C34,10nF,C_0603,114.01,-133.575,180.0,top
C35,2.2nF,C_0603,106.61,-137.725,180.0,top
C36,22pF,C_0603,112.48,-119.057,-90.0,top
C37,22pF,C_0603,113.815,-128.63,180.0,top
C38,100nF,C_0603,122.57,-135.032107,90.0,top
C39,10uF,C_0805,106.55,-129.785,-90.0,top
C4,1uF,C_0805_2012Metric,166.05,-65.12,0.0,top
C40,10uF,C_0805,112.61,-142.65,90.0,top
C41,100nF,C_0603,109.62,-128.665,180.0,top
C42,220pF,C_0805,119.98,-142.645,180.0,top
C43,10nF,C_0603,119.88,-132.8,0.0,top
C44,10uF,C_0805,121.75,-139.435,-90.0,top
C45,10uF,C_0805,116.98,-129.675,180.0,top
C46,1uF,C_0805,106.21,-122.745,0.0,top
C47,100nF,C_0603,185.65,-117.515,-90.0,top
C48,100nF,C_0603,119.084,-116.027,0.0,top
C49,100nF,C_0805,127.51,-141.495,0.0,top
C50,100nF,C_0805,127.55,-143.635,0.0,top
C51,100nF,C_0805,128.42,-112.855,-90.0,top
C52,100nF,C_0603,107.138,-127.313,0.0,top
C54,2.2nF,C_0603,119.864,-134.061,180.0,top
C55,0.1u,C_0805_2012Metric,167.845,-85.53,180.0,top
C56,10uF,C_0805_2012Metric,171.375,-85.55,0.0,top
C57,10uF,C_0805_2012Metric,160.25,-80.225,90.0,top
C6,4.7nF,C_0805,166.19,-69.885,180.0,top
C7,4.7nF,C_0805,162.9,-66.655,-90.0,top
C8,10uF,C_0805_2012Metric,167.89,-81.725,0.0,top
C9,10uF,C_0805_2012Metric,166.19,-72.425,0.0,top
D1,Green,D_0805,89.82,-134.725,0.0,top
D10,1N4004W,D_SOD-123FL,132.46,-136.375,0.0,top
D11,1N4004W,D_SOD-123FL,127.96,-131.575,0.0,top
D12,1N4004W,D_SOD-123FL,132.46,-131.575,0.0,top
D13,LED,LED_0805_2012Metric,142.71,-111.815,0.0,top
D14,LED,LED_0805_2012Metric,142.71,-115.815,0.0,top
D15,LED,LED_0805_2012Metric,142.71,-119.79,0.0,top
D16,LED,LED_0805_2012Metric,146.71,-111.815,0.0,top
D17,LED,LED_0805_2012Metric,146.71,-115.815,0.0,top
D18,LED,LED_0805_2012Metric,146.71,-119.79,0.0,top
D19,LED,LED_0805_2012Metric,150.71,-111.815,0.0,top
D2,IR LED IR908-7C-F,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z8.2mm,90.68,-142.6,0.0,top
